,label,embryo,area,diameter,Z,Y,X,sm50_spots,sm50_intensity,pks2_spots,pks2_intensity
0,1,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,399,9.133938668379978,1.8847117794486212,281.09022556390977,232.04260651629076,5,1.608242956062394,18,2.267408691679712
1,2,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,359,8.817902153251003,1.3286908077994428,287.45961002785515,219.7799442896936,2,1.0833300816167968,20,2.6048779895232066
2,3,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,105,5.853247553205011,0.7904761904761904,297.3428571428572,211.82857142857145,0,1.6472253803332064,2,1.1640913855472703
3,4,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,293,8.240552539726075,2.0784982935153584,296.0716723549488,228.21160409556316,4,1.4795530433153163,22,3.777429012694324
4,5,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,557,10.208271003875293,2.271095152603232,313.19389587073607,210.6858168761221,5,1.5230265107018,30,2.274752515769365
5,6,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,390,9.064739505502711,2.3,306.2692307692308,221.44102564102565,5,1.584714495346714,28,3.3014115471784744
6,7,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,453,9.528689892519017,2.9690949227373067,349.1081677704194,214.23399558498895,6,1.5670820960518042,21,2.5662076130869567
7,8,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,310,8.396939494944725,4.061290322580645,280.1322580645161,196.63548387096773,3,1.2910343607490535,1,0.3308206960378115
8,9,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,343,8.684906872591599,4.545189504373178,277.9475218658892,259.8338192419825,5,1.4775143027782758,10,1.96176208777278
9,10,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,279,8.10715594554489,3.827956989247312,310.21863799283153,194.8996415770609,0,0.7080516203044785,5,0.9808950460898566
10,11,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,370,8.907059782998111,4.445945945945946,341.43783783783783,204.4783783783784,3,1.8256847133803684,14,1.662569294506632
11,12,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,249,7.805491256803147,5.662650602409639,298.68674698795184,192.3855421686747,1,1.1386883323539587,1,0.6603812727353291
