,odds,pvals,pvals.adj,cluster,comparison
0,0.8504672897196262,0.5277143226950856,0.6332571872341026,0,Chlorate-Control
1,0.799649386426246,0.47879933862818164,0.6332571872341026,1,Chlorate-Control
2,0.7969655172413793,0.45980689537617603,0.6332571872341026,2,Chlorate-Control
3,1.4444444444444444,0.32159873010340934,0.6332571872341026,3,Chlorate-Control
4,1.9090909090909092,0.12427118557096652,0.6332571872341026,4,Chlorate-Control
5,1.348993288590604,1.0,1.0,5,Chlorate-Control
0,0.929757343550447,0.7934870218448932,0.7934870218448932,0,MK886-Control
1,0.8427272727272728,0.6593903742906053,0.7912684491487263,1,MK886-Control
2,0.5702194357366771,0.10517342501464538,0.46287691497291733,2,MK886-Control
3,1.5480769230769231,0.23143845748645867,0.46287691497291733,3,MK886-Control
4,1.8162162162162163,0.21436885001706502,0.46287691497291733,4,MK886-Control
5,2.178861788617886,0.4336419572754685,0.6504629359132028,5,MK886-Control
